,measure,lm,nn,gps,dr,sci,cgct_gps,rf,cgct_rf
0,run 1,0.1472772777122294,0.37335644196640605,0.14557380564749128,0.23245595289410623,24.40169216397587,0.40085382966097366,0.1336377325657849,0.37972754175968365
1,run 2,0.1472772777122294,0.535924950762652,0.14557380564749128,0.2083287880985264,7.9121717323076615,0.39028730032183234,0.1336377325657849,0.40065711197187814
2,run 3,0.1472772777122294,1.1945437561133352,0.14557380564749128,0.2683447687829823,1.5180685811759993,0.3823177073200267,0.1336377325657849,0.3921248111452979
3,run 4,0.1472772777122294,0.4959173166183401,0.14557380564749128,0.1991037527078456,23.85255855931302,0.37971563538371267,0.1336377325657849,0.37805647293868805
4,run 5,0.1472772777122294,0.43311833415171025,0.14557380564749128,0.45063086485306525,14.775211489682256,0.3975360377486529,0.1336377325657849,0.28752794441455404
5,run 6,0.1472772777122294,0.388298024466657,0.14557380564749128,0.4769328206750186,2.7410508716145325,0.3810365343077436,0.1336377325657849,0.4006428630694333
6,run 7,0.1472772777122294,0.2074903191298203,0.14557380564749128,0.9478888764895367,9.760561297490964,0.3789538506204519,0.1336377325657849,0.39876082118744227
7,run 8,0.1472772777122294,0.26085256311880256,0.14557380564749128,0.28222242210623977,17.318056256210284,0.36302733295291395,0.1336377325657849,0.377963549212477
8,run 9,0.1472772777122294,0.18156322980069867,0.14557380564749128,0.4869736201252027,10.764959950364643,0.3762678463673668,0.1336377325657849,0.16509354864881287
9,run 10,0.1472772777122294,0.2857738243207412,0.14557380564749128,0.6257855164980745,5.311477701706659,0.38811123752875143,0.1336377325657849,0.38070385967839093
10,mean,0.14727727771222937,0.4356838760449164,0.14557380564749128,0.41786673832305976,11.835580860384189,0.38381073122124254,0.1336377325657849,0.3561258524026658
11,median,0.1472772777122294,0.38082723321653156,0.14557380564749128,0.3664266434796525,10.262760623927804,0.38167712081388516,0.1336377325657849,0.3802157007190373
12,sd,2.925694557147251e-17,0.29161808773114023,0.0,0.23579381109550593,8.12119588137046,0.010946438735880823,0.0,0.07483049903349052
