,A_opt,A_opt_unbound,A_factual,country
0,248.09557270494997,102.3982926088972,271.904336564334,Afghanistan
1,23.18321393845529,28.548451230663414,20.6902726864227,Albania
2,4.695343097141433,104.7547035584349,2.2986090532433,Argentina
3,13.230650004809489,22.62673662832318,8.70117685266772,Azerbaijan
4,107.67576988184338,100.20285658238299,108.375550209447,Benin
5,257.30979690218703,105.12941300070095,290.933552303777,Bangladesh
6,4.7031737316527105,8.191763978415397,16.373023347384,Bosnia and Herzegovina
7,103.56054430227032,122.13217530830775,94.1689916303718,Brazil
8,8.656529424634131,32.96333787072357,6.47631025654085,Botswana
9,98.02531447305732,110.48981426969192,166.978500401415,Cote d'Ivoire
10,146.78476167569224,100.45379913173723,160.392202796809,Cameroon
11,171.8233346604802,107.26859521721379,184.172751299337,Colombia
12,10.749429396489253,18.52912683230761,2.96031073793878,Costa Rica
13,72.78745714288186,97.16212324157104,43.5629174442014,Dominican Republic
14,66.03706856210658,109.49402342571096,19.0089315435697,Algeria
15,481.15855914884935,84.04031864852595,558.284877835976,Ecuador
16,109.95353610249356,115.70917187543019,130.622616151913,Egypt
17,180.78433605926537,106.3734079781989,584.974613485413,Ethiopia
18,41.323919551280014,33.44159898415409,51.4033886888493,Georgia
19,109.83088076653965,107.74060652686134,101.826738683743,Ghana
20,19.54227275855045,32.37822959964816,10.0590356633376,Gambia
21,70.44966776686333,103.22534807190908,64.1250056856905,Guatemala
22,59.6637274289521,78.73209271648152,55.7545685257436,Honduras
23,127.53171403528162,106.39719207439944,137.009135601279,Indonesia
24,86.68740357272638,127.70641684711676,2.56228445713928,Iran
25,10.194064037455556,32.185651172677254,0.946560354859992,Jamaica
26,507.2294179008534,115.32447478632255,599.92098858709,Kenya
27,105.85991844362421,103.95095496185581,105.771393512158,Cambodia
28,22.115342882687084,49.87453745975095,4.65685337402193,Libya
29,21.39729986675944,35.69755885336354,47.5373303784249,Sri Lanka
30,33.86287514552861,17.68121006888905,32.7692152922699,Moldova
31,0.9869709450068038,1.5755755516241823,4.26657984450648,Maldives
32,46.62071863531634,111.14004955896722,45.7670896680173,Mexico
33,11.867420176160064,7.390603616209164,11.8106769485317,North Macedonia
34,1.1150027136863496,2.240962882746585,6.41854501255476,Montenegro
35,58.056049274404764,34.52120375888199,55.9170136075397,Mauritania
36,3.645281933593706,6.302010116406057,6.65433899656961,Mauritius
37,113.3072068413706,105.94712092128232,119.021476502002,Malawi
38,7.4652068098538615,87.84420524959273,1.78446578639137,Malaysia
39,14.056072359591482,32.77166288925253,10.1159777169877,Namibia
40,346.76336295855066,110.55233320753288,365.996923461253,Nigeria
41,94.60649805339992,107.52227667613198,86.5120131822709,Nepal
42,184.3511009283469,116.11499016296786,188.994407296169,Pakistan
43,293.55087805075544,106.01708690166187,315.783614713648,Peru
44,28.90983372589027,26.33639777368031,29.402646613879,Paraguay
45,101.42822667895827,93.36824644877902,150.782665356708,Senegal
46,61.37679714964451,102.49109938908099,38.2878985349703,Sierra Leone
47,37.41849298211351,57.74919423480292,23.8179108626668,El Salvador
48,48.109724337486746,23.03529301345657,54.6849959503427,Serbia
49,159.48019874961273,100.39695024590797,176.701850283509,Chad
50,29.142259336123015,89.42655969147614,25.266409116601,Togo
51,39.14786597939522,61.60720937101037,28.6174773725968,Tajikistan
52,48.15259403391224,55.11990894792754,42.7684552874733,Tunisia
53,157.86497275843098,118.83727843274286,188.620734879592,Tanzania
54,294.33580409229097,114.83710806873587,338.364229173542,Uganda
55,104.59884226655059,108.40238081266148,112.880692266053,Ukraine
56,4.2753978204656775,110.78086903278154,3.15406431222044,Zimbabwe
