a1_base,a2_base,a5_base
0.00017420943325170834,-4.4837986704509565e-07,-0.06116987598230539
0.000136033089928724,-3.335907703812675e-07,0.01873545021304636
0.00024264334096898776,-2.638554669205689e-07,-0.11871801333088945
0.00016878666481581696,-1.2049749584244448e-07,-0.0663373935338812
0.00041832830208796324,-8.476595403849454e-07,0.011759603107329463
0.00014088415731912501,-3.26539252141098e-07,-0.007711298740319632
0.0001787617153130438,-2.718396814623964e-07,-0.03907960203587607
0.00027197457319432314,-4.3009128253648235e-07,-0.03509948248543085
0.00019875398935811748,-2.925017287419989e-07,-0.03323114587820877
0.00016805734149577227,-6.505571089433913e-08,-0.0895920150934105
0.0004729941715742421,-8.044033762755891e-07,-0.05025974012851031
0.0004729941715742421,-8.044033762755891e-07,-0.05025974012851031
0.00015991941995142665,-1.0354133485733415e-07,-0.06381135776654533
5.854231011415475e-05,-4.104242422912685e-08,-0.007627068081046824
