"country","year","change_msfi","ad_sdg2_aid_lag","ad_sdg2_aid","ad_exc2_aid_gdp","infl","food_prod","food_imp_net_gdp","log_gdp","log_gdp_pc","gdp_pc_grw","gov_score","e_pt_coup","disast_affect","fight","prec_z","net_dens"
"Afghanistan",2017,-0.0997782705099778,342.626136911108,328.921351915558,16.075728737829,4.97595150553892,99.84,15.1096282426478,23.7232215169254,6.33414645747772,-0.253593781046973,-1.37303916215897,0,7.5076900778199,1,-0.516070636010711,0.07
"Albania",2017,-0.00515463917525781,12.0881641811671,22.4090651621243,5.19916370014435,1.98666133171199,103.88,3.82117754948485,23.2256583121928,8.35463191970404,3.89811226746693,-0.074097265303135,0,9.95237295026594,0,-0.309518639981028,0.15
"Argentina",2017,-0.348958333333333,32.3805420965467,78.9223670368073,0.07909109861681,3.09878131232082,105.91,0.463071644814407,27.118178210223,9.51746010477211,1.75764818265694,-0.0159576356410982,0,10.8547013141995,0,0.201391157703753,0.496048155049091
"Azerbaijan",2017,-0.305084745762712,8.67856086853058,8.64125651831871,3.05913198525927,12.9359184187335,107.73,0,24.6655024561044,8.5621110851301,-0.778416126232784,-0.719576549530029,0,1e-20,0,-1.68849418363467,0.23
"Benin",2017,-0.16,86.9331344013461,164.813434504467,5.01256960593482,0.0432648555103608,104.57,21.4451071577653,23.2438569461117,6.977619001007,2.60355652692061,-0.412411242723465,0,1e-20,0,-0.802232561620554,0.05
"Bangladesh",2017,0.00931677018633554,151.79958630641,197.676556994396,1.51789426921231,5.70207015717239,110.77,0,26.1295574372897,7.22772318071212,5.26645511283064,-0.746882057189942,0,15.9056478209416,0,1.32376068900429,2.88
"Bosnia and Herzegovina",2017,-0.0729166666666668,18.0192287840763,36.0183232682616,3.57620884263403,3.41758719469284,94.61,10.3095685399284,23.5846462553464,8.53365637719041,4.47338640670523,-0.307227114588022,0,1e-20,0,-0.093128321512269,0.17
"Brazil",2017,-0.172932330827068,51.756681324293,464.905033058399,0.187750132047889,3.44637335032669,106.98,0.544514151902677,28.1998702205839,9.04439683269492,0.523296588574212,-0.172717750072479,0,11.5534914267169,0,-0.531394173747588,0.19
"Botswana",2017,-0.105376344086021,5.95069569335656,4.66784902210673,0.704157690589753,3.30828076768219,93.21,4.51261200044041,23.4381177216929,8.74637205344679,1.97194438915353,0.485551923513412,0,8.08641027532378,0,1.70052804346571,0.06
"Cote d'Ivoire",2017,-0.0469208211143695,56.9618048629776,40.7725865707858,2.89812467825065,0.685881065304603,109.42,4.02755012114417,24.6886396205834,7.66035115229802,4.66846126110498,-0.540787959098816,0,5.41610040220442,0,-0.288284466371341,0.142194821455665
"Cameroon",2017,-0.108216432865731,128.428927730613,152.86969648293,4.16586340572648,0.64040914988195,103.19,3.72344288636282,24.2747085787104,7.26489439471832,0.648212633716412,-1.00801032781601,0,9.46420709593323,1,-0.526597297562141,0.26
"Colombia",2017,-0.115,36.3402905391261,130.114600807335,0.681830978288047,4.31431325695011,99.79,1.78631962701398,26.4392784761196,8.74526713635684,-0.161953874918439,-0.113293923437595,0,10.3369892693381,1,-2.15137426056472,0.19
"Costa Rica",2017,-0.057377049180328,2.59944351116292,113.039470983034,0.730647249285562,1.62590692991732,104.26,3.12160449982031,24.8383973296149,9.41468121825914,3.14326598585389,0.527636051177978,0,1e-20,0,0.370383329880077,0.86
"Dominican Republic",2017,0.00369003690036906,18.0265666611594,21.947721022929,0.511596208229996,3.27955694678546,106.29,3.54565939810996,25.0983439237602,8.91753228647237,3.49047723780494,-0.295960636436939,0,1e-20,0,1.18992987307347,0.29
"Algeria",2017,0.0611353711790392,19.2780187427141,17.8758521427473,0.122527872369136,5.59111590961664,102.87,4.72675354461173,26.0101592363475,8.47775175490231,-0.467047148195618,-0.848576593399048,0,11.7360690162844,0,-0.972376804527231,0.165045076530389
